Temperature,Humidity,Month
9.472,0.890,3
9.356,0.860,3
9.378,0.890,4
8.289,0.830,4
8.756,0.830,4
9.222,0.850,4
7.733,0.950,4
8.772,0.890,4
10.822,0.820,4
13.772,0.720,4
16.017,0.670,4
17.144,0.540,4
17.800,0.550,4
17.333,0.510,4
18.878,0.470,4
18.911,0.460,4
15.389,0.600,4
15.550,0.630,4
14.256,0.690,4
13.144,0.700,4
11.550,0.770,4
11.183,0.760,4
10.117,0.790,4
10.200,0.770,4
10.422,0.620,4
9.911,0.660,4
11.183,0.800,4
7.156,0.790,4
6.111,0.820,4
6.789,0.830,4
7.261,0.850,4
7.800,0.830,4
9.872,0.780,4
12.222,0.720,4
15.094,0.610,4
17.356,0.520,4
19.006,0.460,4
20.044,0.400,4
21.050,0.400,4
21.183,0.370,4
20.117,0.400,4
20.217,0.360,4
20.000,0.430,4
17.800,0.500,4
16.061,0.530,4
15.022,0.550,4
14.422,0.580,4
14.256,0.590,4
13.772,0.600,4
13.283,0.630,4
8.633,0.870,4
11.250,0.830,4
11.183,0.890,4
10.694,0.950,4
11.111,0.930,4
11.111,0.930,4
12.167,0.820,4
12.756,0.790,4
13.839,0.840,4
16.183,0.730,4
17.517,0.670,4
17.383,0.670,4
17.361,0.710,4
17.206,0.740,4
15.633,0.810,4
13.578,0.900,4
10.911,0.860,4
8.800,0.990,4
8.961,0.930,4
8.200,0.960,4
7.689,0.960,4
7.767,0.960,4
8.200,0.960,4
8.178,0.930,4
7.311,0.820,4
7.644,0.930,4
6.622,0.930,4
6.683,0.930,4
6.089,0.930,4
6.067,0.930,4
6.144,0.930,4
7.133,0.800,4
7.206,0.860,4
7.567,0.840,4
8.900,0.770,4
9.961,0.710,4
9.889,0.710,4
11.067,0.710,4
10.117,0.760,4
11.039,0.660,4
10.650,0.700,4
10.050,0.700,4
9.900,0.660,4
8.794,0.710,4
7.828,0.720,4
7.856,0.720,4
7.317,0.750,4
7.244,0.750,4
5.439,0.880,4
7.200,0.760,4
6.689,0.700,4
6.211,0.730,4
6.111,0.760,4
6.111,0.760,4
6.172,0.760,4
7.222,0.710,4
7.289,0.730,4
7.406,0.720,4
7.961,0.700,4
8.033,0.700,4
9.078,0.650,4
9.050,0.620,4
9.050,0.650,4
9.183,0.650,4
9.072,0.700,4
7.983,0.750,4
8.072,0.750,4
7.894,0.820,4
7.311,0.830,4
7.339,0.840,4
6.622,0.850,4
6.067,0.880,4
8.339,0.880,4
5.183,0.910,4
3.722,0.940,4
4.856,0.930,4
5.211,0.920,4
6.256,0.920,4
7.794,0.870,4
10.050,0.760,4
12.200,0.660,4
12.700,0.630,4
13.933,0.580,4
15.094,0.590,4
15.150,0.500,4
16.178,0.440,4
16.250,0.550,4
16.294,0.500,4
16.100,0.560,4
12.956,0.680,4
13.850,0.640,4
12.778,0.690,4
12.150,0.720,4
10.678,0.810,4
10.444,0.830,4
9.822,0.800,4
11.028,0.740,4
7.139,0.930,4
7.622,0.890,4
7.628,0.860,4
7.044,0.860,4
8.600,0.840,4
9.650,0.840,4
12.106,0.720,4
12.778,0.710,4
13.811,0.650,4
16.017,0.480,4
17.128,0.470,4
17.144,0.430,4
17.778,0.400,4
17.778,0.370,4
17.806,0.430,4
16.156,0.520,4
14.050,0.630,4
13.089,0.670,4
12.289,0.720,4
12.778,0.660,4
12.728,0.670,4
12.267,0.690,4
11.711,0.710,4
10.828,0.860,4
12.200,0.590,4
12.200,0.600,4
11.689,0.680,4
11.206,0.770,4
11.133,0.770,4
11.439,0.770,4
13.033,0.810,4
17.244,0.620,4
17.739,0.530,4
17.844,0.560,4
18.861,0.560,4
18.667,0.560,4
17.822,0.560,4
17.800,0.590,4
17.350,0.570,4
16.067,0.670,4
14.933,0.730,4
13.922,0.780,4
12.756,0.840,4
12.756,0.840,4
12.372,0.860,4
11.183,0.930,4
11.667,0.900,4
8.978,0.950,4
10.578,0.930,4
10.533,0.890,4
